,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1660,736,72200.0,69000.0,65600.0,64100.0
1661,249,129000.0,129100.0,135700.0,131000.0
1662,2206,83400.0,83500.0,79700.0,80400.0
1663,1549,149500.0,148200.0,147900.0,146900.0
1664,309,211800.0,198600.0,217900.0,198100.0
1665,2663,109300.0,81000.0,56100.0,55700.0
1666,2225,63135.0,55002.0,53703.0,53648.0
1667,873,73000.0,74000.0,72800.0,73900.0
1668,724,96600.0,97500.0,95400.0,91400.0
1669,314,105700.0,102200.0,97600.0,94500.0
1670,1191,119000.0,117100.0,109800.0,108000.0
1671,1199,166700.0,147800.0,166500.0,141600.0
1672,841,39000.0,37800.0,37400.0,39800.0
1673,743,86500.0,87700.0,92300.0,86300.0
1674,545,82400.0,80800.0,77400.0,75600.0
1675,1938,82400.0,76000.0,77700.0,76900.0
1676,666,76500.0,74400.0,71400.0,72400.0
1677,1381,140700.0,136700.0,136300.0,130400.0
1678,1855,139700.0,139800.0,159800.0,145900.0
1679,2059,88000.0,86900.0,87400.0,85000.0
1680,968,122300.0,121000.0,137900.0,134900.0
1681,962,66300.0,62100.0,57800.0,55600.0
1682,233,193800.0,177100.0,190300.0,173500.0
1683,1596,102100.0,96900.0,94600.0,96300.0
1684,1270,107800.0,103400.0,102600.0,101900.0
1685,337,127800.0,108000.0,118100.0,115600.0
1686,219,182500.0,175500.0,179300.0,171500.0
1687,1574,112600.0,110500.0,110000.0,109500.0
1688,1594,155400.0,155300.0,157800.0,152000.0
1689,598,104100.0,108400.0,109500.0,110200.0
1690,35,91900.0,92600.0,86500.0,84300.0
1691,2201,70700.0,69900.0,74500.0,71500.0
1692,673,168200.0,162300.0,164000.0,158500.0
1693,412,159600.0,152400.0,169100.0,161600.0
1694,1737,187900.0,228800.0,207600.0,235400.0
1695,1437,83794.0,81416.0,78917.0,74812.0
1696,1950,108000.0,98600.0,101100.0,96700.0
1697,2121,70400.0,69000.0,66400.0,66400.0
1698,757,127700.0,129900.0,140500.0,135200.0
1699,641,153600.0,137900.0,133400.0,126100.0
